modelo,parametros_b,bbh,gsm8k,musr,mmlu_pro,gpqa,arc_challenge,ifeval,truthfulqa,hellaswag
mistralai/Mistral-7B-v0.1,7.24,44.19,37.83,41.39,30.13,29.19,59.98,23.86,42.15,83.31
mistralai/Mistral-7B-v0.3,7.25,45.17,34.5,40.32,29.53,29.19,60.49,22.66,41.79,82.99
mistralai/Mixtral-8x22B-Instruct-v0.1,140.62,61.25,82.03,43.11,44.83,37.33,72.7,71.84,68.14,89.08
mistralai/Mixtral-8x22B-v0.1,140.62,62.4,73.69,40.37,46.39,37.58,70.65,25.83,50.95,88.74
mistralai/Mixtral-8x7B-Instruct-v0.1,46.7,49.62,61.11,42.03,36.92,30.29,70.14,55.99,64.98,87.55
mistralai/Mixtral-8x7B-v0.1,46.7,50.87,57.62,43.21,38.5,31.38,66.38,24.15,46.81,86.46
mlabonne/AlphaMonarch-7B,7.24,46.26,66.72,41.21,24.73,27.01,73.04,49.39,77.91,89.18
mlabonne/Beyonder-4x7B-v3,24.15,46.71,70.58,40.45,25.12,28.52,71.67,56.08,74.44,88.86
mlabonne/ChimeraLlama-3-8B-v2,8.03,50.46,73.01,37.91,35.69,28.52,63.82,44.69,56.53,80.94
mlabonne/ChimeraLlama-3-8B-v3,8.03,49.78,71.87,40.04,36.69,29.19,65.78,44.08,55.91,81.83
mlabonne/Daredevil-8B,8.03,51.94,73.54,39.39,38.31,30.79,68.86,45.48,59.89,84.5
mlabonne/Daredevil-8B-abliterated,8.03,42.54,73.16,40.7,37.01,29.03,68.6,44.26,57.87,84.39
mlabonne/NeuralBeagle14-7B,7.24,46.28,70.28,43.19,26.01,28.19,72.95,49.35,69.93,88.34
mlabonne/OrpoLlama-3-8B,8.03,44.24,45.94,35.79,27.05,27.94,59.13,36.53,52.4,82.41
mmnga/Llama-3-70B-japanese-suzume-vector-v0.1,70.55,65.42,87.41,41.41,52.24,28.61,72.35,46.49,62.93,85.81
mosaicml/mpt-7b,7.0,33.0,4.02,36.72,12.06,26.01,47.7,21.52,33.44,77.57
nbeerbower/llama-3-gutenberg-8B,8.03,49.94,69.98,40.73,38.31,30.12,71.33,43.72,63.58,86.47
nlpguy/StarFusion-alpha1,7.24,44.29,64.06,40.81,31.91,29.53,63.4,56.6,46.16,84.75
oobabooga/CodeBooga-34B-v0.1,33.74,34.27,37.23,43.1,23.6,25.67,55.29,52.5,48.12,77.6
openchat/openchat-3.5-0106,7.24,46.17,68.16,42.54,32.91,30.79,66.04,59.67,51.9,82.93
openchat/openchat-3.5-1210,7.24,45.35,65.96,44.14,31.42,30.12,64.93,60.37,52.15,84.92
openchat/openchat-3.6-8b-20240522,8.03,53.38,71.8,39.99,32.29,31.8,62.46,53.43,48.42,80.86
openchat/openchat_3.5,7.0,44.26,26.84,42.29,31.53,29.87,63.91,59.31,46.38,84.79
openchat/openchat_v3.2,13.0,43.31,13.65,43.36,24.22,27.01,59.64,29.81,44.49,82.68
openchat/openchat_v3.2_super,13.0,42.21,13.5,41.61,24.25,26.43,59.81,28.62,42.3,82.5
paloalma/ECE-TW3-JRGL-V1,68.98,62.84,69.14,46.21,42.21,34.73,72.53,55.35,65.89,88.29
paloalma/Le_Triomphant-ECE-TW3,72.29,61.12,79.83,47.25,47.63,34.9,78.5,54.02,75.84,90.3
pankajmathur/orca_mini_v3_13b,13.0,47.11,13.12,45.98,23.05,26.51,63.14,28.97,51.81,82.35
pankajmathur/orca_mini_v3_7b,7.0,40.95,7.13,49.82,20.84,24.66,56.91,28.21,50.51,79.64
pankajmathur/orca_mini_v5_8b,8.03,50.64,67.55,40.0,30.76,28.69,60.92,48.06,55.04,81.78
pankajmathur/orca_mini_v5_8b_dpo,8.0,50.75,67.7,38.94,31.16,27.43,61.86,48.96,56.24,82.35
pankajmathur/orca_mini_v5_8b_orpo,8.0,49.64,65.96,41.31,29.47,28.44,57.08,8.24,53.44,79.93
refuelai/Llama-3-Refueled,8.03,58.71,61.64,44.54,30.95,29.95,54.69,46.2,41.73,79.09
rwitz/go-bruins-v2,7.24,37.99,69.67,41.38,27.61,26.26,69.8,40.96,59.7,87.05
saishf/Fimbulvetr-Kuro-Lotus-10.7B,10.73,43.42,66.87,44.45,33.89,30.12,69.54,49.39,60.95,87.87
saishf/Neural-SOVLish-Devil-8B-L3,8.03,51.42,73.09,41.1,38.07,30.79,69.11,41.99,59.05,84.77
saltlux/luxia-21.4b-alignment-v1.0,21.42,63.73,62.4,43.28,34.03,30.12,77.47,36.93,79.17,91.88
saltlux/luxia-21.4b-alignment-v1.2,21.42,63.71,66.94,44.59,34.73,30.79,77.73,41.15,79.16,90.86
sci-m-wang/deepseek-llm-7b-chat-sa-v0.1,7.0,37.18,49.13,41.73,22.09,25.67,55.55,40.36,46.86,79.37
senseable/WestLake-7B-v2,7.24,40.73,67.63,39.37,27.64,27.68,73.04,44.19,67.06,88.65
shadowml/BeagSake-7B,7.24,47.11,71.8,41.24,25.85,28.1,72.44,52.16,72.27,88.39
shadowml/Mixolar-4x7b,36.1,52.16,63.91,42.58,33.05,29.28,71.08,38.93,71.81,88.44
spmurrayzzz/Mistral-Syndicate-7B,7.24,42.45,44.5,43.86,26.31,27.6,60.84,24.96,43.71,82.91
stabilityai/StableBeluga2,68.98,58.24,35.86,47.3,33.26,31.63,71.08,37.87,59.44,86.37
stabilityai/stablelm-2-12b,12.14,45.09,56.03,44.79,30.72,27.85,58.45,15.69,42.16,84.33
stabilityai/stablelm-2-12b-chat,12.14,46.72,57.85,39.14,27.34,26.68,64.85,40.82,62.01,85.96
swap-uniba/LLaMAntino-3-ANITA-8B-Inst-DPO-ITA,8.03,49.36,58.61,43.87,37.23,29.87,74.57,48.15,75.93,92.75
teknium/CollectiveCognition-v1.1-Mistral-7B,7.0,44.93,35.86,38.69,28.37,28.69,62.12,27.9,57.62,84.17
teknium/OpenHermes-13B,13.0,42.06,11.6,40.43,23.89,27.27,59.81,26.68,46.01,82.24
teknium/OpenHermes-2.5-Mistral-7B,7.24,48.7,26.08,42.42,30.54,28.36,64.93,55.71,52.24,84.18
teknium/OpenHermes-7B,7.0,36.2,5.0,43.24,19.33,26.93,56.14,18.13,45.0,78.32
tenyx/Llama3-TenyxChat-70B,70.55,65.11,86.28,42.6,52.1,30.12,72.1,80.87,62.85,86.21
tiiuae/falcon-11B,11.1,43.92,53.83,39.86,23.89,27.1,59.73,32.61,52.56,82.91
tiiuae/falcon-40b,40.0,40.19,21.46,36.31,25.05,27.35,61.86,24.96,41.65,85.28
tiiuae/falcon-7b,7.0,32.85,4.62,37.78,11.25,24.5,47.87,18.21,34.26,78.13
tiiuae/falcon-7b-instruct,7.0,32.03,4.7,36.34,11.55,24.75,46.16,19.69,44.08,70.85
togethercomputer/GPT-NeoXT-Chat-Base-20B,20.0,33.21,6.9,34.61,11.45,25.0,45.65,18.3,34.51,74.03
togethercomputer/LLaMA-2-7B-32K,7.0,34.0,4.32,37.54,17.68,25.0,47.53,18.65,39.23,76.14
togethercomputer/Llama-2-7B-32K-Instruct,7.0,34.43,5.69,40.56,17.81,25.17,51.11,21.3,44.86,78.51
togethercomputer/RedPajama-INCITE-7B-Base,7.0,31.95,3.03,36.2,11.97,25.5,46.25,20.82,33.03,71.63
togethercomputer/RedPajama-INCITE-7B-Chat,7.0,31.75,0.45,34.48,11.21,25.25,42.06,15.58,36.09,70.82
togethercomputer/RedPajama-INCITE-7B-Instruct,7.0,33.77,1.59,36.85,12.72,25.08,44.11,20.55,33.96,72.02
upstage/SOLAR-10.7B-Instruct-v1.0,10.73,51.62,64.75,38.99,31.38,30.87,71.08,47.37,71.43,88.16
upstage/SOLAR-10.7B-v1.0,10.73,50.94,55.5,43.72,34.0,28.1,61.95,24.21,45.04,84.6
uukuguy/speechless-code-mistral-7b-v1.0,7.0,45.72,47.01,45.02,31.46,28.44,61.18,36.65,47.9,83.77
uukuguy/speechless-codellama-34b-v2.0,34.0,48.13,11.6,37.87,25.42,26.93,54.35,46.04,45.21,75.65
uukuguy/speechless-instruct-mistral-7b-v0.2,7.24,46.07,56.33,49.02,29.02,28.19,58.79,32.61,49.85,81.89
uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,13.02,48.46,13.12,46.55,25.59,27.01,59.64,45.62,56.0,82.7
uukuguy/speechless-mistral-dolphin-orca-platypus-samantha-7b,7.24,49.83,21.38,43.61,29.9,28.36,64.33,37.0,52.52,84.4
uukuguy/speechless-zephyr-code-functionary-7b,7.24,46.64,43.82,42.68,30.94,30.03,61.52,26.96,44.99,83.88
vicgalle/CarbonBeagle-11B,10.73,52.94,66.94,40.2,32.76,30.2,71.84,54.15,69.43,88.93
vicgalle/CarbonBeagle-11B-truthy,10.73,53.48,66.11,37.4,33.57,29.95,72.27,52.12,78.55,89.31
vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B,8.03,50.55,68.46,41.84,30.98,29.7,63.82,57.63,62.51,83.49
vicgalle/Configurable-Yi-1.5-9B-Chat,8.83,54.52,70.58,42.71,40.15,34.31,64.16,43.23,58.75,81.7
vicgalle/ConfigurableBeagle-11B,10.73,52.87,63.91,39.53,33.74,30.2,72.53,58.34,77.13,88.85
vicgalle/ConfigurableHermes-7B,7.24,45.73,61.41,40.57,30.25,27.68,66.04,54.11,61.71,84.31
vicgalle/ConfigurableSOLAR-10.7B,10.73,48.67,63.38,38.05,31.73,29.87,70.39,51.0,72.34,88.03
yam-peleg/Hebrew-Mistral-7B,7.5,43.34,30.33,39.77,27.8,27.94,59.73,23.28,48.16,80.77
ycros/BagelMIsteryTour-v2-8x7B,46.7,51.59,61.33,42.03,34.73,30.45,72.7,59.94,74.54,87.36
zhengr/MixTAO-7Bx2-MoE-v8.1,12.88,42.02,71.11,39.76,28.47,29.87,73.81,41.88,78.57,89.22
