modelo,parametros_b,bbh,gsm8k,musr,mmlu_pro,gpqa,arc_challenge,ifeval,truthfulqa,hellaswag
Kukedlc/NeuralSynthesis-7B-v0.3,7.24,51.38,70.89,43.46,30.5,28.02,72.7,40.78,78.13,89.18
Kukedlc/NeuralSynthesis-7b-v0.4-slerp,7.24,51.43,71.04,43.32,30.43,27.77,73.21,39.47,78.07,89.14
LLM360/K2,65.29,49.72,48.75,39.8,30.04,27.68,64.16,22.52,40.76,85.69
LeroyDyer/Mixtral_AI_SwahiliTron_7b,7.24,30.55,33.51,34.2,12.08,26.51,57.08,15.34,60.66,81.59
MTSAIR/MultiVerse_70B,72.29,61.83,76.65,47.4,48.6,35.4,78.67,52.49,75.18,89.77
MaziyarPanahi/Calme-4x7B-MoE-v0.1,24.15,51.03,71.11,41.99,30.57,28.19,72.53,43.15,72.86,88.6
MaziyarPanahi/Calme-4x7B-MoE-v0.2,24.15,51.11,71.04,43.18,30.58,27.94,72.35,42.94,72.84,88.63
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,8.03,49.63,68.46,42.02,38.53,30.54,71.67,75.28,63.9,87.77
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,8.03,49.36,66.49,41.48,38.46,30.79,72.35,76.3,64.67,88.17
NTQAI/Nxcode-CQ-7B-orpo,7.25,41.43,27.07,39.4,16.12,25.42,35.49,40.07,45.01,53.86
NYTK/PULI-GPTrio,7.67,30.6,0.76,38.19,11.37,26.59,30.72,21.8,39.03,53.49
Nekochu/Luminia-13B-v3,13.02,41.12,4.25,39.83,22.15,27.01,52.47,25.23,43.74,76.08
Nexusflow/NexusRaven-V2-13B,13.0,39.49,20.92,37.37,18.72,26.01,45.14,17.91,44.54,67.4
NousResearch/Hermes-2-Pro-Llama-3-8B,8.03,50.71,67.93,42.62,30.52,29.28,63.48,53.62,56.56,83.22
NousResearch/Hermes-2-Pro-Mistral-7B,7.24,49.95,61.26,43.76,29.46,27.35,63.99,56.68,59.01,82.75
NousResearch/Hermes-2-Theta-Llama-3-8B,8.03,52.07,70.74,39.49,33.69,30.37,63.14,65.18,55.74,82.56
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,7.24,48.53,60.5,40.0,30.15,29.28,65.7,57.63,55.78,84.94
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,46.7,55.39,71.65,45.95,36.66,32.13,71.08,58.97,54.83,87.29
NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,46.7,50.58,69.6,42.14,30.66,30.2,69.71,57.31,51.22,86.74
NousResearch/Nous-Hermes-2-SOLAR-10.7B,10.73,54.14,69.45,43.73,34.58,29.36,66.72,52.79,55.82,84.89
