metodo,k,silhouette,davies_bouldin,calinski_harabasz,inercia_sse
KMeans,2,0.08352863384808817,3.1312079101388477,19.23770009242318,1822.8880154389544
Ward,2,0.05894336598563614,3.844367440310904,12.695100160697027,
KMeans,3,0.08157382086585464,2.7250219027641607,16.82383771827451,1708.23312766657
Ward,3,0.05301030453487891,3.241439459117632,12.3842721635337,
KMeans,4,0.08480848738369318,2.4802675140669286,16.311269636276705,1600.4323851670117
Ward,4,0.05709645077136612,2.903813301128963,12.30666652924281,
KMeans,5,0.08603139326387485,2.3077218934653145,15.24233629097755,1523.6199465614259
Ward,5,0.06355165032242102,2.612531544178505,12.092046589663088,
KMeans,6,0.08679284827044562,2.2503809071741854,14.73336834404383,1449.563186483741
Ward,6,0.06493997845198804,2.3934629295656635,12.02805626110106,
KMeans,7,0.08960388284464642,2.0661635447520075,13.955530160694435,1394.8453837560664
Ward,7,0.06233340418739549,2.254799947027854,11.62396175789704,
KMeans,8,0.08897892498712061,2.0321973442054224,13.569662682802596,1338.0367239262139
Ward,8,0.06223924104845838,2.1383705197180145,11.420566005525721,
KMeans,9,0.09018200088595052,1.9844576703970267,12.869854640407473,1299.5016708404783
Ward,9,0.06331628044881828,2.126419776288315,11.109202579752212,
KMeans,10,0.08954580338392837,2.028041434806999,12.318344660747998,1263.0245167725661
Ward,10,0.0687344943220024,2.1160291822256037,10.869474855968441,
